,text
0,20
1,本刊与美国(COSMOPOLITAN )版权合作
2,Cosmo lalk 话题
3,我们的角色
4,5月号邮发代号:46-199
5,高贵
6,New City 新城市
7,大家一起ocs
8,还是卑微?
9,掌管3.5亿
10,美元基金的中国女人
11,Feature 专辑
12,艳丽赌本
13,瘾情
14,让我在你的身上作画
15,"与红酒、咖啡,烟,茶"
16,Carpers 职业生涯
17,巧克力谈一场
18,"Top Lady ,"
19,有“味道”的恋爱
20,带着Baby的
21,超霸主张
22,美女是一种什么资源
23,Net-fair网事
24,时尚杂志2001年第5期第108期
25,issN1005-1988
26,05>
27,Internet 要“现代话
28,www .trendsmadcom.cn
29,1SSN1005-1988(国际标准刊号CM3327/GO(国内统一刊号)2
30,# D 
31,31
0,AUGUST 2002 
1,作
2,8月号邮发代号46-199
3,感懒猫
4,舒淇
5,Fun Fearless 
6,不人
7,Female forever !
8,永远做3F女人
9,为什么强奸犯喜欢夏天
10,Kiss and Tell 
11,吻过就说
12,名模为什么这样红
13,全球Supermodel 大检阅
14,中
15,200203秋冬时装流行趋势发布
16,巴黎时髦街道
17,背后的故事
18,胡军:脆弱的阳
19,亚当的树叶
20,一男士内裤专辑
21,时200年期总138期
22,男人的味道
23,1sN1005-1988
24,.
25,rselt (国际标准刊号)n0内一
26,26
0,COS 
1,MARCH 2003 
2,本刊与美国
3,《COSMOPOLITAN 》
4,版权合作
5,2003
6,3月号邮发代号4199
7,春夏时装
8,STAR明星
9,"I,莫文蔚"
10,流行发布
11,白色朋克劲俏春风
12,CAREERS 职场
13,职场新进化论
14,古董衣Vintage 
15,旧欢如美梦
16,LOVE爱
17,水水肌肤5重奏
18,一定要玩的情游戏
19,狙击美目杀手
20,HIS VIEW 男性视角
21,候补先生
22,C.COSMO 私人医生
23,你时常感到
24,疲倦吗?
25,SPECIAL FEATURE 特别企划
26,谁进入我的身体
27,谁成为我的骨肉
28,MY BODY MY CHOICE 
29,时尚杂志2003年第03期总第152期
30,IsSN1005-1988
31,生育是谁的权利
32,网
33,n-www.Kongtz .com元
34,9771005198009
35,35
0,2003 
1,张柏芝
2,8月号
3,我的温柔只有
4,加薪全攻略
5,你看得见
6,世界海拔最高的爱情
7,添:时代的容颜
8,2003秋冬流行发布
9,海洋美丽配方
10,给肌肤点一杯饮品
11,Man解读男人
12,他们钱包里的故事
13,当一朵花OR做一棵树?
14,0周年特企
15,谈论美男重在参与
16,毕业十年重相聚
17,110
18,当性别PH值=7
19,Self 
20,20
0,時C
1,OCTOBER 2004 
2,尚
3,本与国
4,CCOSMOPOUTAN 
5,合作
6,朱孝天
7,10月号发代号4-190
8,一个人的
9,2046的缪斯
10,诺曼底
11,张曼玉女人都想
12,驾车识男人
13,成为的女人
14,外企大比拼
15,特别策划Special Feature 
16,Dark Date 
17,"不见钟情,黑暗"
18,时装抄袭
19,谁动了我的创意
20,欧、美日
21,小胸针大潮流
22,美容界三大流派
23,时尚200
24,谁是最爱
25,1sN1005-1988
26,个超级美容误区
27,9770051800
28,i10051(国际标准
29,标准号:C113327G(国内线一刊号定价20元
30,30
0,時C
1,NOVEMBER 2004 
2,尚
3,本刊与美
4,权作
5,Keira 
6,11月号邮发代号:46-199
7,Xnightley 
8,职场OL
9,英伦
10,别让细节绊倒你
11,蝴蝶姬
12,试离婚放爱一条生路
13,草根英雄
14,陈小春
15,N55Jadore 
16,留香战役
17,我的软肋
18,是爱情
19,明星动了
20,超模的奶酪?
21,行
22,"对不起,"
23,这个男人是我的
24,护肤的
25,8种套装N穿法
26,奥秘
27,时尚2004年11期总
28,化妆品
29,1sN100-1988
30,两面说
31,971005198009
32,-国际标准号)c0(内一号)定价20
33,33
0,時C
1,LTAN 
2,DECEMBER 2004 
3,)
4,封面明星
5,Diane Kruger 
6,12月号邮发代号46-199
7,你肯为高薪付
8,老爸是成龙
9,伪单身:爱情机会主义者
10,儿是房祖名
11,cm年终权威盘点
12,2004
13,皮肤会对
14,时尚圈
15,名牌护肤品
16,依赖吗
17,发生了什么
18,个
19,时尚名都打折期
20,精明血拼
21,减压美容
22,低华丽的4种穿法
23,法则
24,1551001
25,COSMO 教你逛
26,化妆品柜台
27,国际准号一
28,28
0,JANUARY 2004 
1,本与美国
2,尚
3,版权合作
4,1月号邮发代号:4-199
5,个女人
6,[嫁给好莱坞帅哥Ryan Phillippe ]]
7,改变世界
8,Reese Witherson 
9,中等美貌智慧
10,新年行动
11,Cosmo 
12,如果上天答应
13,Man 
14,你一个愿望
15,每月必有男性专刊!
16,Man We Love 
17,10个性感加分
18,车仁:一个好男人
19,His point of View 
20,完美新年派对装
21,解读他的电话行为
22,All About Man 
23,换来换去不敏感
24,男人眼睛揭秘
25,手套之恋
26,我在撒哈拉的48小时
27,时间杂志2004年01期7期
28,5N10-1
29,N10010国际标准
30,9771001900
31,3国内一刊号定价20元
32,32
0,FCOS 
1,時
2,TAN 
3,FEBRUARY 2004 
4,本刊与
5,CCOSVOPOUTAN 
6,脂作
7,2004
8,2月号邮发代号:46-199
9,奋斗一辈子
10,春夏流行发布
11,素妍
12,爱N个好男人
13,双面伊人
14,特别道
15,名门之后
16,职场新装计划
17,COSMO 情人节行动
18,成人痘
19,约会陌生人
20,6个护肤品
21,那缕温暖的何润东
22,绝望症
23,男人的身体说什么
24,治疗方案
25,上海滩的
26,Party Queen 
27,星座
28,时杂志2004年0期74
29,155N1005-1
30,男人之最
31,02
32,国际标准刊号
33,9710019800
34,一号)定价20元
35,35
0,MARCH 2004 
1,3月号邮发代号:46-1
2,美丽不败家
3,特别报道SPECIAL REPORT 
4,拍卖我的约会
5,20
6,做年龄的情人
7,化妆品精品淘
8,换个性别过一天
9,雪茄女人杨莉滨
10,不让眼泪毁掉脸
11,2004
12,春夏
13,In &out
14,风衣
15,男人的第一次
16,戏法
17,吴镇宇当一个男人成为老大
18,秀色可餐
19,美容菜
20,封2004期7
21,5N1005-1988
22,线N1005156际标准号
23,977100198009
24,内统一列号价20
25,25
0,FCOSM 
1,UTAN 
2,APRIL 2004 
3,尚
4,合
5,4月号46199
6,奥斯卡新影后
7,中国版《老友记》
8,查里兹·塞伦
9,性感无须忏悔
