,0
0,TAN 
1,& BEAUTY
2,FASHION 
3,NOVEMBER2012 
4,NOVEMBER2012 
5,《COSMOPOLITAN 
6,11月号邮发代号:46-199
7,完美肌肤
8,ngelabal 
9,魔方图案
10,Angelababy 
11,"美得立体,活得"
12,艳色大衣
13,敢爱敢恨
14,华丽丝绒
15,单身可以做
16,倪安东
17,有勇友不要做的事
18,泰勒斯威芙特
19,秋冬更要
20,女孩有点小难搞
21,她曾经打败碧昂斯
22,男人才会珍惜
23,金属妆来袭
24,穿醒目
25,明星和他的
26,普通朋友
27,成为更棒的情人
28,36
29,新人VS偶像
30,、
31,职场金字塔
32,晋升有密码
33,激活正能量
34,珠宝人咖秀
35,公主病
36,活出单身美
37,时尚杂志2012年第21期总第372期
38,你有吗?
39,ISSN1005-1988
40,www .hicosmo.com 
41,www .hicosmo.com
42,issN1005-1988(国际标准刊号)CN11-3327/GO(国内统一刊号)
43,@时尚
44,ISSN105-1988国标标准刊号)CN11-3327/GO(国内统一刊号)双刊总价:￥2
45,45
