,0
0,時
1,1
2,時
3,COSMOPOLITAN 
4,& FASHION
5,& BEAUT
6,JANUARY2012 
7,UARY2012 
8,《OSMOPOLITAN 
9,版权合作
10,版权合作
11,双面周迅
12,1月号邮发代号:46-19
13,我希望大家都相爱
14,1月号邮发代号46-199
15,时装圈
16,隆我不是好情人
17,后宫
18,奢侈品
19,那点事
20,哑光妆
21,冬季运动装
22,高跟鞋立场
23,不如坏女人
24,上你在年会上
25,脱颖而出
26,过得好
27,&
28,COSMO &FASHIO
29,特别策划
30,COSMO &FASHION
31,COSMO &BEAUT
32,COSMO &
33,双刊
34,012
35,最值得
36,期待
37,时尚杂志2012年第0
38,ISSN1005-1988
39,时尚COSM
40,的事
41,weibo .poltan 
42,.hicosmo.com
43,sN1005-1988(国际标准刊号)C11-3327/GO(国内刊
44,刊号定价:￥20hK$30
45,45
