,0
0,MARCH2013 
1,MARCH2013 
2,版权合
3,版权合作
4,倪妮
5,倪妮
6,被动江湖
7,美得感
8,爱得理性
9,3月号邮发代号:46-199
10,主动冒险
11,3月号邮发代号:46-199
12,刘晓庆
13,《破产女孩》
14,《屌丝女士》专访
15,最赚钱女制片
16,女人只有征服世界
17,凯特戴琳斯
18,才能真正征服男人
19,玛蒂娜希尔的
20,《泰》陈祉希
21,疯逆袭
22,野心比美貌更卖座
23,炎亚纶
24,几何图案
25,辈子要有
26,青春不老
27,春夏生机美妆
28,值得纪念的爱情
29,时尚圈人
30,到底有钱没钱
31,画出迷人
32,鲜果色
33,60
34,血型减肥
35,一步到位
36,2013必读
37,男人使用手册
38,有点Bitchy 不羞耻
39,新媒体风云女性解密
40,撩春装时升级
41,时尚杂志2013年第05期总第380期
42,成食
43,ISSN1005-1988
44,1005-198国际标准刊号)CN11-3327/(国内统一刊号
45,时尚COSMO 
46,刊号)CN13327/G(国内统一刊号
47,47
