,0
0,APRIL2013 
1,APRIL2013 
2,《( COSMOPOLITAN
3,版权合作
4,版权合作
5,高圆圆
6,取悦自己
7,高圆圆
8,美来放心
9,龚琳娜
10,4月号邮发代号:46-199
11,被放人的魔性
12,4月号邮发代号:46-199
13,金球奖女主角
14,等待白马王子不如
15,被忽略的天性
16,杰西卡
17,拥有自己的一匹马
18,爱笑的女孩
19,用执著打败时间
20,招速成
21,文艺叔/酷叔/萌叔
22,零压族
23,有幸福
24,张翰
25,COSMO 读叔笔记
26,COSMO 美容微电影
27,暖味绝对不是
28,李春主演唐浚编剧
29,种友谊
30,Best Buy 
31,金马奖孙立视觉创意
32,新李精品优选
33,无瑕世代
34,10天打包美白梦
35,几何/格纹/冰激色
36,春色女人
37,19
38,让床上的你更美
39,纽约美女
40,时尚杂志2013年第07期总第382期
41,IssN1005-1988
42,风格密码
43,精活
44,1005-1国际标准刊号327/C(国内统一刊号)
45,时尚C际
46,际准刊号)C11337/G(国内统一刊号)
47,47
