,0
0,時COS
1,MAY2013 
2,MAY2013 
3,( COSMOPOLITAN)
4,版权合什
5,版权合作
6,尚
7,李冰冰
8,每个人都是传奇
9,時
10,柴智屏
11,5月号邮发代号:46-199
12,有颗女皇的心
13,5月号邮发代号:46-199
14,Facebook 女掌门
15,你就是自己的
16,7
17,张天爱
18,自拍法则
19,我是一只不死鸟
20,成功密码
21,越秀越美
22,好气色
23,M配色全书
24,想彩穿色彩
25,胜过好肤色
26,高难色怎么搭
27,成肌一条生
28,不同肤色之选
29,李冰冰
30,美是隐形竞争力
31,驾驭品牌标志色
32,缤纷配饰
33,4光
34,格温妮丝帕特洛
35,直优雅有时疯狂
36,12
37,短款外套
38,刘恺威/严宽/霍建华
39,个变身秀
40,高薪男会爱上谁
41,古典美小生
42,现代辣爰情
43,陶莹
44,性褔才幸福
45,issn1005-1988
46,私定朝来袭
47,把本色活色
48,SN1005-1988(国际标准刊号)CN11-3327/CO(国内统一刊号)
49,@时尚COSMO 
50,CN1-327/C0(国内统一刊号
51,51
