,0
0,時
1,COS 
2,0
3,TAN 
4,JUNE2013 
5,JUNE2013 
6,《COSMOPOLITAN )
7,《COSMOPOLITAN 
8,尚
9,版权合什
10,版权合作
11,导演赵薇
12,青春没有毕业证
13,尚
14,“我是歌手”人气王
15,导演赵薇
16,6月号邮发代号:46-199
17,杨宗纬
18,6月号邮发代号:46-199
19,我的角色是女人
20,从洋葱男到
21,锻造职业生长力
22,唐顿园》
23,催歌神
24,《生活大爆炸》
25,延长职业黄金期
26,热剧女神你爱谁
27,西雅图》女导演路
28,奥运冠军当你私教
29,和柔韧的力量
30,要体型更要体质
31,拯救社交拖延症
32,黑富美进行时
33,Y形轮廓/挺括面料
34,愉悦美丽
35,愉悦美丽
36,超大配饰/艳彩单品
37,我的人生
38,200夏日美人
39,乐价比
40,摩/运动奢华装
41,英国星相大师ng
42,没有个合的星
43,只有不成长的
44,倾听心
45,时尚杂志2013年第1
46,issn1005-1988
47,放身体开始
48,智美双上
49,揭秘女精英保养百箱
50,国际标准刊号CN11-332/GO(国内统一刊号)
51,时尚COSMO 
52,52
