,0
0,時
1,時
2,OLTAN 
3,SEPTEMBER2013 
4,SEPTEMBER2013 
5,《COSMOPOLITAN 
6,《COSMOPOLITANY 
7,5
8,版权合
9,版权合作
10,小S徐熙娣
11,小S徐熙娣
12,人生若只有一面
13,笑是一种Power 
14,那未免太无聊
15,叶锦添
16,好奇心开启
17,9月号邮发代号:46-199
18,独家专访熊黛林
19,9月号邮发代号:46-199
20,艺术化生存
21,平衡大师志田美代子
22,影子退去美丽依旧
23,不是好男人
24,女人要有自由精神
25,二代女少主
26,身心愉悦
27,高富帅
28,生来有钱
29,低调做人
30,修心之旅
31,也要甩
32,不如自己赚钱
33,高调穿衣
34,青春食疗
35,招经典
36,不显老
37,美购全球
38,逗你未必爱你
39,女朋友智慧
40,红搞笑男
41,泄密男人心
42,懂它就是好命女
43,做美女不如
44,美丽不是完
45,故Lady
46,特点就是亮点
47,50年代超人轮郭/迷图案/嬉皮年代
48,杂志2013年第17期总第392期
49,ISSN1005-1988
50,秋冬潮流密码
51,用个性赢世界
52,1005-1988(国际标准刊号)CN11-3327/O(国内统一刊号)
53,时尚COSMO 
54,54
