,0
0,COS 
1,TAN 
2,COSM 
3,SUCCESS 
4,STYLE 
5,FEBRUARY2014 
6,FEBRUARY20 
7,COSMOPCLITAN 
8,COSMO 独家拍摄
9,ueen B 
10,2月号邮发代号:46-199
11,给甜心加点辣
12,2月号邮发代号:46-199
13,《30岁前别结婚作者陈愉
14,逃离都市的女人
15,Soulmate 
16,找一个地方移居
17,不是找到的
18,是创造的
19,早春迷人度假装
20,吴尊
21,钱要抮早
22,SmartSex 
23,专业奶爸
24,兼职男神
25,拜金不如吸金
26,把卫衣穿出明媚性感
27,办公室美丽高段位
28,运动鞋迎来上流美
29,COSMO 独家拍摄
30,把经典穿出味道
31,潮牌彩妆美女新宠
32,( ueenB 
33,够有趣的女人
34,男人真心话大冒险
35,本美精品
36,才够酷
37,什么样的外遇
38,全搜索
39,变真爱
40,国帅厨告诉你
41,让秀发成为
42,餐厅约会潜规则
43,男人的陷
44,偷窥精英朋友圈
45,大咖们流行玩什么
46,30
47,条妙计
48,魅人分享秘诀
49,不靠相亲就脱单
50,辈了
51,时尚杂志2014年第02期总第402期
52,ISSN1005-1988
53,有人追
54,N1(国刊号CN11327/GC(国内统一刊号】
55,@时尚COSMO 
56,56
