,0
0,時
1,心
2,LTAN 
3,時C
4,STYLE 
5,SUCCESS 
6,APRIL2014 
7,APRIL2014 
8,COSMOPOLITAN 
9,COSMOPOLITAN 
10,版权合作
11,姚晨
12,姚晨
13,4月号邮发代号:46-199
14,性感渐入佳境
15,4月号邮发代号:46-199
16,活出自己
17,想要的样
18,约会萌装
19,麦莉赛勒斯
20,王自健
21,搞定熟男
22,你们所谓的堕落
23,其实是一种力量
24,叫我呆萌王!
25,邓紫棋
26,Diamond Wang 
27,要不累
28,@欢@张点
29,我就很吵
30,快来围观
31,女董秘真心话
32,主页君
33,职场不相信年轻貌美
34,腮红扫出
35,运动美出
36,小V脸
37,弹肌
38,50
39,页惊艳
40,的装巨制
41,商务派对
42,撒哈拉女王
43,桃化装
44,身材在青春在
45,从Gin
46,让灵魂幸福得冒泡
47,心方式你有吗?
48,身体
49,到Queen 
50,情场女生
51,成长进阶
52,迷恋
53,有态度
54,ssn1005-1988
55,义
56,你就出来
57,SN1005-1988(国际标准刊号CN11-3327/GO(国内统一刊号
58,双时尚COSMO 
59,59
